Player ID,Overall Pick,Games,Minutes Played,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game
137,45,128,1909,0.786,14.9,4.5,2.5
138,16,27,134,0.5,5,1.2,1
139,19,680,14621,0.639,21.5,7.2,6.5
141,38,48,700,0.69,14.6,4.9,3.7
142,14,130,2981,0.776,22.9,8.1,4.1
143,48,98,1667,0.758,17,4.7,2.6
144,22,190,3538,0.744,18.6,9.1,5.6
145,16,229,4869,0.615,21.3,10.2,7.1
146,19,253,7205,0.802,28.5,12.3,2.5
147,49,36,167,0.846,4.6,1.2,1
148,20,359,8122,0.811,22.6,6.3,2.4
150,29,88,835,0.686,9.5,2.3,1
151,28,360,8018,0.743,22.3,7,2
152,30,455,14957,0.834,32.9,16.4,4.9
153,43,36,534,0.703,14.8,3.9,1.8
154,17,423,6430,0.715,15.2,5.9,3.5
155,16,540,11099,0.691,20.6,7.9,3.6
156,26,660,17174,0.703,26,9.7,6.4
157,1,491,16658,0.821,33.9,19,3.6
158,39,183,3335,0.702,18.2,6.5,2.2
159,9,625,17903,0.699,28.6,8.9,9.3
160,49,318,3851,0.562,12.1,3.4,3.7
162,2,861,29815,0.806,34.6,19.4,8.3
163,16,299,4600,0.704,15.4,5.9,2
164,3,744,20366,0.857,27.4,14.9,2.5
165,31,87,1111,0.58,12.8,3.3,3
166,38,606,15526,0.784,25.6,6.5,2.3
167,7,879,27015,0.8,30.7,10.9,2.9
168,45,792,13356,0.78,16.9,5.8,3
169,2,75,1961,0.64,26.1,9.5,2.6
170,31,518,9147,0.866,17.7,6.3,1.7
171,44,162,1884,0.657,11.6,3.9,2.9
172,4,527,13109,0.642,24.9,12.9,5.2
173,30,644,16278,0.765,25.3,5.8,2.8
174,45,45,550,0.691,12.2,4.5,2.1
175,4,289,6032,0.691,20.9,9.6,4.6
176,7,436,8758,0.704,20.1,7.5,5.3
177,24,95,973,0.559,10.2,2.6,2.5
178,32,80,1246,0.822,15.6,5.5,1
179,33,450,6443,0.714,14.3,4,3.4
180,34,50,936,0.778,18.7,6.3,1.6
182,24,172,2669,0.818,15.5,4.3,1.4
183,1,320,11579,0.742,36.2,19.8,4.1
184,33,180,3458,0.768,19.2,7.4,2.4
185,1,151,1905,0.67,12.6,4.4,3.1
186,19,95,1110,0.842,11.7,3,1.5
187,31,294,7142,0.848,24.3,9.3,2.8
188,33,7,38,0.75,5.4,2.7,0.9
189,4,365,10490,0.701,28.7,13.3,2.7
190,24,84,605,0.674,7.2,2.3,0.7
191,33,92,761,0.68,8.3,2.2,2.3
192,34,455,10802,0.791,23.7,9,3.8
193,1,441,14955,0.875,33.9,22,3.4
194,4,510,14310,0.608,28.1,9.1,8.5
195,32,22,150,0.333,6.8,2,0.8
196,30,51,1049,0.611,20.6,6.3,2.7
197,46,532,13370,0.817,25.1,8.8,3.4
198,19,534,11925,0.617,22.3,9.5,6.8
199,25,408,7329,0.807,18,7.6,1.9
200,42,397,9316,0.78,23.5,7.8,2
201,10,73,724,0.732,9.9,3.5,1.2
202,1,1134,43977,0.739,38.8,27.2,7.4
203,31,509,9068,0.835,17.8,6.7,1.7
204,6,103,2202,0.77,21.4,9.4,1.4
205,35,861,26901,0.722,31.2,16.2,9.5
206,8,601,8403,0.467,14,2,3.7
207,20,816,18680,0.587,22.9,6.8,6
208,36,31,270,0.7,8.7,2.8,1.4
209,8,1255,37607,0.862,30,15,2.3
211,9,62,1843,0.7,29.7,15.1,3.8
212,46,22,163,0.45,7.4,2.2,1.6
213,21,163,2339,0.785,14.3,5.8,2.8
214,13,346,7373,0.75,21.3,9.8,4.9
215,44,235,3372,0.839,14.3,5.2,3
216,17,397,6970,0.761,17.6,6.9,4.4
217,55,7,21,0,3,0,0.9
218,26,151,2100,0.67,13.9,5.9,2.8
219,50,26,181,0.7,7,1.5,2.3
220,24,189,3446,0.706,18.2,7.4,4.2
221,34,26,269,0.682,10.3,4.1,3.4
222,28,82,505,0.566,6.2,2.1,0.6
223,50,31,272,0.81,8.8,2.7,0.7
224,54,75,1062,0.746,14.2,4.3,1.3
225,12,409,7084,0.603,17.3,5.7,4.7
226,31,133,1253,0.613,9.4,3,1.5
228,13,71,2367,0.821,33.3,20.3,3.7
229,51,3,25,1,8.3,3.3,0.7
230,7,155,4018,0.898,25.9,13,3.1
231,15,85,1096,0.761,12.9,4.5,2.8
232,19,82,744,0.718,9.1,3.3,1.1
234,7,183,4648,0.729,25.4,10.9,3
235,11,256,5304,0.823,20.7,7.9,2.3
236,41,220,5896,0.83,26.8,14.5,9
237,56,44,457,0.375,10.4,2.2,1.6
