Player ID,Round,Overall Pick,Games,Minutes Played,Points,Total Rebounds,Assists ,Field Goal Percentage,3-Point Percentage,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game
71,1,25,820,18055,6654,2884,1077,0.475,0.282,0.709,22,8.1,3.5,1.3
72,2,40,136,1436,472,186,68,0.404,0,0.752,10.6,3.5,1.4,0.5
73,1,16,6,34,11,4,4,0.222,0,1,5.7,1.8,0.7,0.7
74,1,20,624,9799,3353,1082,529,0.439,0.329,0.751,15.7,5.4,1.7,0.8
75,2,56,67,630,220,187,22,0.476,0,0.488,9.4,3.3,2.8,0.3
76,2,50,495,9229,3415,1689,589,0.499,0.158,0.844,18.6,6.9,3.4,1.2
77,1,10,1268,44078,20355,5035,4987,0.442,0.372,0.802,34.8,16.1,4,3.9
78,1,11,143,1935,509,347,103,0.405,0.274,0.64,13.5,3.6,2.4,0.7
79,1,21,25,125,30,17,17,0.234,0,0.8,5,1.2,0.7,0.7
80,1,11,145,1392,386,395,38,0.489,0,0.593,9.6,2.7,2.7,0.3
81,,,,,,,,,,,,,,
82,1,22,64,1244,509,342,45,0.582,0.25,0.797,19.4,8,5.3,0.7
83,1,27,71,2184,1126,448,128,0.45,0.371,0.719,30.8,15.9,6.3,1.8
84,2,55,2,15,9,3,2,0.375,0.333,1,7.5,4.5,1.5,1
85,1,29,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3
86,2,41,146,1788,541,224,120,0.422,0.362,0.842,12.2,3.7,1.5,0.8
87,1,22,381,8584,3305,2423,777,0.565,0,0.564,22.5,8.7,6.4,2
88,1,27,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2
89,2,36,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3
90,1,3,548,14275,6322,3934,605,0.516,0.211,0.664,26,11.5,7.2,1.1
91,1,27,278,6827,3417,702,879,0.411,0.316,0.825,24.6,12.3,2.5,3.2
92,2,31,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2
93,1,11,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4
94,1,10,627,19633,11290,4262,978,0.502,0.335,0.788,31.3,18,6.8,1.6
95,1,21,618,16369,7925,3339,563,0.423,0.382,0.855,26.5,12.8,5.4,0.9
96,2,40,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1
97,1,17,137,1978,581,472,47,0.511,0,0.624,14.4,4.2,3.4,0.3
98,1,22,203,3095,1128,361,574,0.386,0.321,0.767,15.2,5.6,1.8,2.8
99,1,23,256,4482,1340,1258,125,0.544,,0.445,17.5,5.2,4.9,0.5
100,2,54,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2
101,1,15,297,5714,1614,681,295,0.412,0.304,0.674,19.2,5.4,2.3,1
102,2,43,5,6,0,1,0,0,,,1.2,0,0.2,0
103,1,22,143,2351,643,492,142,0.443,0.292,0.658,16.4,4.5,3.4,1
104,1,22,148,1584,561,198,165,0.405,0.289,0.677,10.7,3.8,1.3,1.1
105,2,51,1100,28816,10944,3348,1961,0.444,0.432,0.88,26.2,9.9,3,1.8
106,1,24,419,10547,4210,2261,346,0.494,0.143,0.73,25.2,10,5.4,0.8
107,2,54,66,517,173,70,31,0.361,0.265,0.538,7.8,2.6,1.1,0.5
108,1,7,303,6729,2171,1744,236,0.377,0.315,0.671,22.2,7.2,5.8,0.8
109,2,35,520,6772,1594,1034,436,0.39,0.344,0.783,13,3.1,2,0.8
110,1,1,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9
111,2,36,47,303,68,76,5,0.389,,0.462,6.4,1.4,1.6,0.1
112,,,,,,,,,,,,,,
113,1,11,56,691,295,58,68,0.327,0.324,0.778,12.3,5.3,1,1.2
114,1,22,48,522,168,57,24,0.367,0.294,0.78,10.9,3.5,1.2,0.5
115,1,9,228,5330,2265,930,377,0.41,0.347,0.762,23.4,9.9,4.1,1.7
116,1,9,226,3466,920,1048,93,0.444,0.301,0.673,15.3,4.1,4.6,0.4
117,1,24,224,3473,1257,375,431,0.398,0.363,0.799,15.5,5.6,1.7,1.9
118,2,45,247,4066,1612,1030,180,0.535,0.282,0.74,16.5,6.5,4.2,0.7
119,1,4,312,7029,2472,1752,393,0.504,0.25,0.732,22.5,7.9,5.6,1.3
120,1,2,350,9345,3197,2086,435,0.476,0.194,0.706,26.7,9.1,6,1.2
121,2,31,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8
122,1,9,516,17550,9820,1943,2796,0.415,0.36,0.833,34,19,3.8,5.4
123,1,19,455,13448,6620,2560,768,0.467,0.354,0.813,29.6,14.5,5.6,1.7
124,2,39,104,1034,373,269,25,0.45,0,0.557,9.9,3.6,2.6,0.2
125,1,12,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9
126,2,40,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7
127,1,9,717,16930,6872,1295,2747,0.406,0.376,0.862,23.6,9.6,1.8,3.8
128,1,20,293,3905,1553,1150,143,0.503,0.286,0.797,13.3,5.3,3.9,0.5
129,2,38,73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6
130,1,8,428,6949,2976,1560,199,0.607,0,0.674,16.2,7,3.6,0.5
131,1,22,784,18386,6256,2610,1273,0.467,0.396,0.734,23.5,8,3.3,1.6
132,1,3,161,3278,1200,342,222,0.373,0.331,0.71,20.4,7.5,2.1,1.4
133,2,50,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3
134,1,5,931,28344,10674,2821,5035,0.413,0.329,0.789,30.4,11.5,3,5.4
135,1,13,119,1868,821,481,115,0.458,0.231,0.746,15.7,6.9,4,1
136,1,2,610,19007,7355,5944,518,0.512,0,0.585,31.2,12.1,9.7,0.8
137,2,45,128,1909,576,315,126,0.417,0.161,0.786,14.9,4.5,2.5,1
138,1,16,27,134,32,27,8,0.232,0,0.5,5,1.2,1,0.3
139,1,19,680,14621,4917,4408,386,0.48,0,0.639,21.5,7.2,6.5,0.6
140,,,,,,,,,,,,,,
141,2,38,48,700,233,178,90,0.646,0,0.69,14.6,4.9,3.7,1.9
142,1,14,130,2981,1047,535,297,0.401,0.376,0.776,22.9,8.1,4.1,2.3
143,2,48,98,1667,458,256,82,0.371,0.335,0.758,17,4.7,2.6,0.8
144,1,22,190,3538,1723,1062,203,0.461,0.34,0.744,18.6,9.1,5.6,1.1
145,1,16,229,4869,2345,1630,340,0.48,0,0.615,21.3,10.2,7.1,1.5
146,1,19,253,7205,3119,636,533,0.469,0.372,0.802,28.5,12.3,2.5,2.1
147,2,49,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2
148,1,20,359,8122,2271,872,377,0.421,0.381,0.811,22.6,6.3,2.4,1.1
149,2,49,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1
150,1,29,88,835,206,84,121,0.349,0.22,0.686,9.5,2.3,1,1.4
151,1,28,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7
152,1,30,455,14957,7451,2226,1533,0.452,0.34,0.834,32.9,16.4,4.9,3.4
153,2,43,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4
154,1,17,423,6430,2516,1462,246,0.489,0,0.715,15.2,5.9,3.5,0.6
155,1,16,540,11099,4278,1952,1120,0.481,0.302,0.691,20.6,7.9,3.6,2.1
156,1,26,660,17174,6414,4220,670,0.506,0.159,0.703,26,9.7,6.4,1
157,1,1,491,16658,9345,1768,2833,0.451,0.296,0.821,33.9,19,3.6,5.8
158,2,39,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4
159,1,9,625,17903,5569,5804,1811,0.49,0,0.699,28.6,8.9,9.3,2.9
160,2,49,318,3851,1066,1190,207,0.509,0,0.562,12.1,3.4,3.7,0.7
161,2,51,1,0,0,0,0,,,,0,0,0,0
162,1,2,861,29815,16693,7150,1648,0.488,0.29,0.806,34.6,19.4,8.3,1.9
163,1,16,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4
164,1,3,744,20366,11084,1851,1868,0.432,0.401,0.857,27.4,14.9,2.5,2.5
165,2,31,87,1111,285,261,51,0.408,0,0.58,12.8,3.3,3,0.6
166,2,38,606,15526,3946,1364,2690,0.393,0.363,0.784,25.6,6.5,2.3,4.4
167,1,7,879,27015,9594,2576,4245,0.411,0.375,0.8,30.7,10.9,2.9,4.8
168,2,45,792,13356,4632,2371,552,0.464,0.414,0.78,16.9,5.8,3,0.7
169,1,2,75,1961,714,195,350,0.399,0.322,0.64,26.1,9.5,2.6,4.7
170,2,31,518,9147,3289,897,677,0.408,0.383,0.866,17.7,6.3,1.7,1.3
171,2,44,162,1884,637,477,40,0.466,0.2,0.657,11.6,3.9,2.9,0.2
