Player ID,Round,Games,Total Rebounds,Free Throw Percentage,Points Per Game,Total Rebounds Per Game
389,2,36,31,0.625,3.1,0.9
390,1,735,5582,0.743,11.2,7.6
391,1,628,3076,0.643,8.2,4.9
392,1,375,1215,0.625,5.3,3.2
393,2,73,188,0.636,2.7,2.6
394,1,1079,10094,0.646,8.6,9.4
395,1,446,2190,0.59,10.1,4.9
396,1,783,3666,0.718,10.3,4.7
397,2,447,1200,0.73,7.1,2.7
399,1,51,357,0.449,10.2,7
400,1,9,11,1,0.9,1.2
401,1,136,621,0.659,12.2,4.6
402,2,72,232,0.706,5.4,3.2
403,1,183,654,0.755,14.6,3.6
404,1,183,1079,0.688,7.2,5.9
405,2,40,103,0.85,4,2.6
406,1,229,2047,0.712,13.4,8.9
407,2,163,504,0.797,6,3.1
408,2,189,593,0.671,4.2,3.1
409,2,132,126,0.63,3.3,1
410,2,49,34,0.875,4,0.7
411,2,63,122,0.722,3.6,1.9
412,2,41,43,0.739,2,1
413,1,394,875,0.824,7.6,2.2
414,2,302,1230,0.767,9.4,4.1
415,2,2,4,1,4.5,2
416,1,113,276,0.638,5.3,2.4
418,2,711,5465,0.779,15.2,7.7
419,1,504,958,0.739,7.7,1.9
420,2,22,31,0.444,1,1.4
421,1,418,3221,0.69,11.5,7.7
422,2,473,1757,0.636,4.7,3.7
423,2,200,234,0.751,5.3,1.2
424,1,581,1093,0.858,5.3,1.9
425,1,421,1115,0.783,5.5,2.6
426,2,564,1588,0.715,4.7,2.8
427,1,72,88,0.667,3.9,1.2
428,1,453,1157,0.527,2.2,2.6
430,1,64,359,0.71,7,5.6
431,1,156,815,0.652,7.3,5.2
432,2,178,521,0.777,10.2,2.9
433,1,111,266,0.81,6,2.4
434,2,64,87,0.548,2.9,1.4
435,1,59,180,0.667,3.6,3.1
436,2,311,995,0.861,12,3.2
437,2,50,89,0.545,2.3,1.8
438,2,37,72,0.518,2.9,1.9
439,2,483,1348,0.83,11.9,2.8
440,1,577,2772,0.761,12.6,4.8
441,2,138,203,0.644,2.2,1.5
442,1,592,2017,0.78,6.2,3.4
443,1,51,99,0.854,3.3,1.9
444,1,549,2093,0.806,8.4,3.8
445,2,76,214,0.678,2.9,2.8
446,2,42,85,0.714,3.2,2
447,1,975,4628,0.767,22.6,4.7
449,1,881,4387,0.847,14.1,5
450,2,809,1934,0.747,7.5,2.4
451,2,16,32,0.333,2,2
452,2,717,1223,0.851,7.5,1.7
453,2,3,6,0.25,1,2
455,1,21,9,0.5,0.9,0.4
456,2,64,115,0.693,3.6,1.8
457,1,128,336,0.676,4.5,2.6
458,2,121,365,0.872,11.4,3
459,2,125,175,0.758,3.9,1.4
460,1,139,158,0.692,3,1.1
461,2,187,384,0.801,6.8,2.1
462,1,174,938,0.748,15.2,5.4
463,2,20,31,0.875,1.8,1.6
464,2,147,353,0.663,3.5,2.4
465,2,40,57,0.72,2.3,1.4
466,1,386,2874,0.746,17.1,7.4
467,2,28,38,0.769,3.9,1.4
468,1,383,2089,0.577,7.9,5.5
469,2,100,95,0.7,3.5,1
470,1,235,236,0.876,6,1
471,2,336,1329,0.769,6.7,4
472,1,238,1345,0.553,6.4,5.7
474,2,65,132,0.852,2.8,2
475,1,548,1645,0.795,14.2,3
476,2,523,1096,0.881,9.3,2.1
477,1,67,120,0.698,4.2,1.8
478,2,676,2777,0.662,6.4,4.1
479,1,272,1339,0.78,7.9,4.9
480,2,685,1834,0.791,10.4,2.7
481,2,68,123,0.86,2.7,1.8
482,1,694,6057,0.556,9.8,8.7
483,2,669,3943,0.77,10.9,5.9
484,1,429,1331,0.815,11.2,3.1
485,2,671,1817,0.716,6.3,2.7
486,1,89,131,0.659,3.5,1.5
487,2,527,2326,0.498,4.7,4.4
488,2,487,1006,0.725,9.9,2.1
490,1,151,443,0.738,5.6,2.9
491,2,629,2411,0.838,19,3.8
492,2,341,567,0.788,4.8,1.7
494,1,61,464,0.867,14.8,7.6
495,1,130,387,0.69,7.6,3
496,1,239,2779,0.834,21.4,11.6
497,2,30,57,0.724,2.1,1.9
498,1,230,696,0.82,14,3
499,2,164,374,0.705,4.3,2.3
500,2,113,234,0.781,5.2,2.1
501,1,296,622,0.792,10.8,2.1
502,1,295,1188,0.467,4.6,4
503,2,76,115,0.684,3,1.5
504,2,98,266,0.867,3.9,2.7
505,1,428,1693,0.71,8.9,4
506,1,248,949,0.6,7.4,3.8
507,1,563,1841,0.744,7.2,3.3
508,1,378,842,0.747,4.8,2.2
509,1,525,2905,0.633,6.9,5.5
510,2,33,25,0.462,0.6,0.8
511,1,423,1813,0.834,10.7,4.3
512,1,163,307,0.809,9.2,1.9
513,1,551,1506,0.77,12.7,2.7
514,1,584,1294,0.85,8,2.2
515,2,129,243,0.581,4.6,1.9
516,1,547,1706,0.82,13.8,3.1
517,2,271,1807,0.76,12.6,6.7
518,2,641,1574,0.793,8.9,2.5
519,1,776,2175,0.714,8.9,2.8
520,2,70,194,0.605,1.9,2.8
