Player ID,Round,Games,Total Rebounds,Free Throw Percentage,Points Per Game,Total Rebounds Per Game
852,1,642,3264,0.588,5.8,5.1
853,1,38,46,0.743,3.1,1.2
854,1,502,1427,0.675,7.8,2.8
855,2,68,69,0.643,2.1,1
856,2,867,6441,0.735,14.2,7.4
857,1,845,2619,0.822,16.3,3.1
858,2,777,1883,0.808,9.8,2.4
859,2,23,43,0.5,2.1,1.9
860,1,800,4314,0.7,6.7,5.4
861,1,211,491,0.699,6.3,2.3
862,1,6,9,0.5,0.7,1.5
863,1,567,1000,0.673,4.9,1.8
864,2,818,2264,0.871,13.2,2.8
865,1,85,189,0.539,2.3,2.2
866,2,72,242,0.537,2,3.4
867,1,113,194,0.853,6.5,1.7
868,2,542,1579,0.699,3.9,2.9
869,1,824,1832,0.698,7.2,2.2
870,2,19,12,0.75,1.2,0.6
872,1,204,410,0.796,6.5,2
873,2,292,955,0.806,14.3,3.3
874,1,335,1635,0.788,10.4,4.9
875,2,84,185,0.635,5.5,2.2
876,1,397,1475,0.794,18.7,3.7
877,2,121,269,0.752,5,2.2
878,1,162,562,0.408,3.6,3.5
879,1,148,472,0.633,4.1,3.2
880,2,390,762,0.746,6.4,2
881,1,537,2349,0.786,18.9,4.4
882,1,72,90,0.767,2.9,1.3
883,2,185,697,0.748,6.1,3.8
884,2,65,108,0.73,5.4,1.7
885,1,550,2625,0.583,7.5,4.8
886,2,181,401,0.76,6,2.2
887,1,707,1402,0.835,11.5,2
888,2,342,1169,0.658,2.7,3.4
889,1,111,266,0.793,3.9,2.4
890,1,909,2025,0.798,11.1,2.2
891,2,6,4,0.5,1.8,0.7
892,1,427,1330,0.798,8.3,3.1
893,2,870,1816,0.779,6.5,2.1
894,1,629,2563,0.583,4.8,4.1
895,1,436,816,0.833,8.4,1.9
896,2,82,210,0.849,10.9,2.6
897,1,607,3333,0.57,6.6,5.5
898,2,17,22,0.625,3,1.3
